LSOA code,Predicted_Hotspot_Probability
E01002077,0.9986759
E01003318,0.9986706
E01004260,0.99866927
E01000223,0.9986638
E01004444,0.99866354
E01000095,0.9986498
E01004537,0.9986298
E01034192,0.9986268
E01034215,0.99862456
E01001249,0.9986185
E01033944,0.9985868
E01001730,0.99855095
E01002701,0.9985429
E01000257,0.9985297
E01002037,0.99851817
E01004460,0.9984977
E01003668,0.99847275
E01003073,0.99846673
E01002708,0.998466
E01002847,0.9984567
E01032772,0.99842143
E01035716,0.99841976
E01004749,0.9983431
E01001933,0.99832875
E01002765,0.9982791
E01002444,0.9982553
E01000204,0.9982364
E01002912,0.99822634
E01004219,0.99822026
E01001518,0.99820983
E01004291,0.9981791
E01001181,0.9981767
E01000560,0.9981325
E01034042,0.998116
E01003497,0.99811447
E01001776,0.99809927
E01001097,0.9980976
E01001899,0.99802715
E01003544,0.9980148
E01033148,0.9979576
E01032803,0.99793553
E01004202,0.9979247
E01001796,0.9978689
E01034175,0.9978654
E01004733,0.99785787
E01001751,0.9978471
E01004472,0.99784184
E01004703,0.9978333
E01004540,0.9978308
E01000136,0.99782985
E01001986,0.99781346
E01001675,0.99779224
E01000921,0.9977811
E01034617,0.9977143
E01035488,0.99769825
E01001762,0.99768984
E01001578,0.997681
E01000124,0.99766624
E01003336,0.9976471
E01000489,0.9976411
E01001666,0.99763274
E01003489,0.99760205
E01003933,0.99757177
E01033869,0.9975702
E01004397,0.9975491
E01000299,0.99753284
E01002014,0.99749184
E01000862,0.99749017
E01004552,0.99748933
E01002968,0.997474
E01004063,0.9974564
E01033938,0.99743
E01001942,0.99742293
E01000171,0.9973801
E01004588,0.9973699
E01000797,0.9973598
E01001507,0.99735165
E01003557,0.99731463
E01001012,0.9973116
E01002130,0.9972632
E01003604,0.9972625
E01004178,0.997256
E01000128,0.9972397
E01000196,0.99723536
E01004443,0.9972306
E01002497,0.99722123
E01004455,0.9971744
E01003074,0.9971668
E01001774,0.99715483
E01001370,0.9971414
E01000561,0.9971335
E01004014,0.99712306
E01034187,0.9971053
E01004206,0.9971008
E01033099,0.9970804
E01003953,0.9970605
E01003921,0.99688184
E01003246,0.99687374
E01003319,0.9968581
E01004326,0.9968354
E01003205,0.99682754
E01000965,0.9968172
E01000032,0.996804
E01004286,0.9967817
E01003888,0.99675506
E01004392,0.9967188
E01033939,0.99670154
E01000913,0.99668956
E01002633,0.99667054
E01003253,0.99666613
E01033942,0.9965533
E01004485,0.99653363
E01004747,0.9965287
E01001836,0.99652535
E01001644,0.9965127
E01003799,0.9964329
E01003578,0.99642676
E01001513,0.9963936
E01000933,0.9963917
E01002829,0.9963497
E01001902,0.99629176
E01000142,0.9961647
E01035672,0.9961605
E01001558,0.9961486
E01004694,0.9961469
E01000162,0.9961397
E01032574,0.99613357
E01002368,0.9961194
E01004005,0.99608153
E01034149,0.99606764
E01003117,0.9960659
E01001641,0.9960473
E01000114,0.9960353
E01002897,0.99599326
E01004410,0.995992
E01004429,0.99598277
E01002370,0.9959824
E01003113,0.995956
E01000251,0.9959539
E01000279,0.99590564
E01002088,0.9958905
E01000181,0.99576485
E01001738,0.99575704
E01002129,0.99575126
E01004239,0.99572635
E01002350,0.9957253
E01003107,0.99570435
E01002896,0.9957001
E01004723,0.9956916
E01001995,0.995689
E01003875,0.99568826
E01001438,0.995672
E01001362,0.9956656
E01032764,0.9956567
E01002008,0.99563354
E01001252,0.9955968
E01000314,0.9955864
E01002898,0.99557686
E01003272,0.99554574
E01004644,0.9955083
E01035718,0.99537176
E01032640,0.9953674
E01002508,0.99530584
E01004341,0.9952786
E01002707,0.99525934
E01003016,0.9951925
E01001857,0.99518037
E01002894,0.9951633
E01001439,0.9951385
E01002835,0.99504375
E01004416,0.9950352
E01000804,0.9950244
E01002786,0.9949857
E01034220,0.9949496
E01002837,0.9949452
E01003616,0.9948939
E01003619,0.99487275
E01002490,0.9948597
E01002358,0.99479806
E01001759,0.99476874
E01000194,0.9947411
E01002447,0.994739
E01004479,0.99472046
E01002356,0.9946965
E01004052,0.99465704
E01000161,0.9946497
E01002887,0.9946355
E01003370,0.9946169
E01002118,0.99453485
E01004099,0.99446
E01000935,0.9944323
E01004346,0.99435943
E01003297,0.9943389
E01001502,0.99433666
E01000140,0.99423814
E01002181,0.9942221
E01002809,0.9941993
E01003190,0.9941835
E01002386,0.9940865
E01003299,0.9940638
E01001864,0.9940128
E01000137,0.9939976
E01001277,0.9939697
E01003038,0.9939229
E01000869,0.9938153
E01000503,0.99371225
E01003347,0.9936646
E01003186,0.99365187
E01002072,0.99363303
E01002883,0.9936313
E01004580,0.9936261
E01002695,0.99361366
E01035687,0.9936014
E01001780,0.9935913
E01032774,0.99354494
E01000958,0.9935448
E01003051,0.9934784
E01001492,0.99347514
E01000888,0.9934487
E01001729,0.993371
E01001231,0.9933682
E01001013,0.9932801
E01000883,0.99321187
E01001451,0.99319166
E01003291,0.99315566
