LSOA code,Burglary_Count,Borough,longitude,latitude
E01000001,91,City of London,-0.0963606424096297,51.51801909758552
E01000002,98,City of London,-0.0929347770166017,51.518746134561525
E01000003,54,City of London,-0.0958348483402298,51.521646044434775
E01000005,326,City of London,-0.0748212891487692,51.512525208583455
E01000006,5,Barking and Dagenham,0.088361288144738,51.538844939769184
E01000007,38,Barking and Dagenham,0.0755689244397131,51.54078236085347
E01000008,39,Barking and Dagenham,0.0698773913744078,51.53962988154602
E01000009,35,Barking and Dagenham,0.0839335694155372,51.53963325757459
E01000010,42,Barking and Dagenham,0.0781632311544074,51.53690892030552
E01000011,9,Barking and Dagenham,0.0801567134864088,51.54320711711477
E01000012,28,Barking and Dagenham,0.0740987900295993,51.54279678983373
E01000013,41,Barking and Dagenham,0.1463870568940121,51.54268157518779
E01000014,24,Barking and Dagenham,0.1389999902224592,51.54325824510351
E01000015,21,Barking and Dagenham,0.155267658624192,51.5438108892928
E01000016,9,Barking and Dagenham,0.1532401059465279,51.54999145975984
E01000017,9,Barking and Dagenham,0.1454508923597554,51.549406412157694
E01000018,13,Barking and Dagenham,0.1528715648292606,51.54725131456226
E01000019,5,Barking and Dagenham,0.1208004102606037,51.557142056302176
E01000020,30,Barking and Dagenham,0.1249209764089774,51.55680777279581
E01000021,22,Barking and Dagenham,0.1160255021311217,51.55433990151875
E01000022,15,Barking and Dagenham,0.1214133908263913,51.55408962801763
E01000023,7,Barking and Dagenham,0.1111375673412317,51.55115280307094
E01000024,14,Barking and Dagenham,0.1218316358164249,51.55076987040336
E01000025,25,Barking and Dagenham,0.1179796223695177,51.5495055332251
E01000027,17,Barking and Dagenham,0.1426544794078132,51.59124833176137
E01000028,11,Barking and Dagenham,0.1285102568175001,51.58572913302688
E01000029,13,Barking and Dagenham,0.1343654342256145,51.580430652714746
E01000030,19,Barking and Dagenham,0.1355878910823598,51.58281429510933
E01000031,21,Barking and Dagenham,0.1441252519124141,51.579969978330354
E01000032,48,Barking and Dagenham,0.1331526194157289,51.57495011690311
E01000033,9,Barking and Dagenham,0.16176600806285,51.55426397007669
E01000034,12,Barking and Dagenham,0.1713747818384712,51.55895104722688
E01000035,18,Barking and Dagenham,0.1624185589801716,51.54983990842652
E01000036,21,Barking and Dagenham,0.1691830450887418,51.54621703940167
E01000037,7,Barking and Dagenham,0.180064468345032,51.56292284857321
E01000038,28,Barking and Dagenham,0.1730841199878054,51.56307571376688
E01000039,8,Barking and Dagenham,0.181702660830761,51.55227074424396
E01000040,13,Barking and Dagenham,0.0974593395701665,51.53684360325333
E01000041,20,Barking and Dagenham,0.1161316532579026,51.53801321655635
E01000042,21,Barking and Dagenham,0.1067138570519674,51.53680547739441
E01000043,9,Barking and Dagenham,0.0999745582139937,51.533691249993154
E01000044,18,Barking and Dagenham,0.0914046473597325,51.53585699427818
E01000045,31,Barking and Dagenham,0.1110570056112823,51.534686159390176
E01000046,29,Barking and Dagenham,0.1202816973516976,51.53635130680337
E01000048,9,Barking and Dagenham,0.0836378389482646,51.53163785620425
E01000049,14,Barking and Dagenham,0.0882905748561941,51.53100484029642
E01000050,27,Barking and Dagenham,0.0857346666576524,51.53483661724727
E01000051,18,Barking and Dagenham,0.0823588650460573,51.5342990752704
E01000052,17,Barking and Dagenham,0.0931842287280674,51.53187875784644
E01000053,18,Barking and Dagenham,0.1424725105384144,51.53245055130193
E01000054,16,Barking and Dagenham,0.1316825663699045,51.53695653203452
E01000055,11,Barking and Dagenham,0.1262464743711444,51.53563977737828
E01000056,12,Barking and Dagenham,0.1366533389619065,51.53468255916968
E01000057,20,Barking and Dagenham,0.1285768500764301,51.53837338078059
E01000058,13,Barking and Dagenham,0.1360179979895356,51.53968405398744
E01000059,19,Barking and Dagenham,0.140887723554328,51.53710077360036
E01000060,30,Barking and Dagenham,0.1608150367864441,51.55820595606859
E01000061,17,Barking and Dagenham,0.1569905794228224,51.56176677606915
E01000062,31,Barking and Dagenham,0.1517761488902172,51.5538368553919
E01000063,11,Barking and Dagenham,0.1443355573941347,51.5571433251203
E01000064,32,Barking and Dagenham,0.1584472868070896,51.55304345534432
E01000065,18,Barking and Dagenham,0.1415520898895323,51.55250550110378
E01000066,16,Barking and Dagenham,0.1063770088094202,51.54662292274582
E01000067,17,Barking and Dagenham,0.1014501627985928,51.54711824581888
E01000068,6,Barking and Dagenham,0.0861227798130685,51.5438404389637
E01000069,6,Barking and Dagenham,0.0990874654074524,51.542601831188485
E01000070,45,Barking and Dagenham,0.0910267619557841,51.5452408263958
E01000071,24,Barking and Dagenham,0.0968850099565093,51.53977563389695
E01000072,28,Barking and Dagenham,0.1108083282669276,51.54209277524211
E01000073,18,Barking and Dagenham,0.1118544142207699,51.5475305929816
E01000074,20,Barking and Dagenham,0.1202946597600118,51.545730984959285
E01000075,26,Barking and Dagenham,0.1274833099584088,51.54368928003481
E01000076,18,Barking and Dagenham,0.1200928628245624,51.54162296924844
E01000077,14,Barking and Dagenham,0.125217303319771,51.54934787859997
E01000078,23,Barking and Dagenham,0.1325499114247579,51.552475119694805
E01000079,11,Barking and Dagenham,0.1402620237656052,51.54660179743302
E01000080,13,Barking and Dagenham,0.1319636818797844,51.54709301859505
E01000081,13,Barking and Dagenham,0.1381172293359094,51.550357571890046
E01000082,35,Barking and Dagenham,0.1378359330624319,51.55441876679646
E01000083,18,Barking and Dagenham,0.128351249804886,51.55361075842156
E01000084,10,Barking and Dagenham,0.1461767854879823,51.539905971654335
E01000085,14,Barking and Dagenham,0.1501434521042311,51.5387076064896
E01000086,14,Barking and Dagenham,0.1462236659258167,51.5364009437826
E01000087,36,Barking and Dagenham,0.1502060456444721,51.53047678271526
E01000088,20,Barking and Dagenham,0.1562267978059687,51.53419452575977
E01000089,22,Barking and Dagenham,0.1607197827341341,51.531325761518055
E01000090,36,Barking and Dagenham,0.1537811282448558,51.51946549049036
E01000091,19,Barking and Dagenham,0.1082590090996742,51.52689014072779
E01000092,44,Barking and Dagenham,0.1095915171747234,51.52036874799128
E01000093,25,Barking and Dagenham,0.1030730621098651,51.53027934388699
E01000094,22,Barking and Dagenham,0.115351826590616,51.523009405072976
E01000095,82,Barking and Dagenham,0.1400802515226469,51.52493435160436
E01000096,40,Barking and Dagenham,0.1153614998736076,51.53197338061373
E01000097,21,Barking and Dagenham,0.1294584513953462,51.563676334142514
E01000098,27,Barking and Dagenham,0.1276457210340866,51.55960733103208
E01000099,35,Barking and Dagenham,0.1339337263020804,51.5632308088396
E01000100,10,Barking and Dagenham,0.1375929611845732,51.559621528859466
E01000101,17,Barking and Dagenham,0.1445102657635933,51.5597550922064
E01000102,21,Barking and Dagenham,0.1337720746820772,51.5572904904411
E01000103,31,Barking and Dagenham,0.164868877744271,51.53421755675224
E01000104,23,Barking and Dagenham,0.1660561517891023,51.539045191848366
E01000105,50,Barking and Dagenham,0.154009225568843,51.53821381586896
E01000106,34,Barking and Dagenham,0.1596325373190632,51.54039322923429
E01000107,27,Barking and Dagenham,0.1762429345101682,51.54250040653915
E01000108,29,Barking and Dagenham,0.1673602513797571,51.54302550757302
E01000109,5,Barking and Dagenham,0.1408253219971121,51.56421102010128
E01000110,10,Barking and Dagenham,0.1462766815425494,51.57375181925772
E01000111,37,Barking and Dagenham,0.1446738219324284,51.56902335053328
E01000112,19,Barking and Dagenham,0.1392191172755885,51.5702583178788
E01000113,29,Barking and Dagenham,0.1335874517394457,51.56989817165339
E01000114,42,Barking and Dagenham,0.1481982142591787,51.5636182490228
E01000115,16,Barnet,-0.1427587204348957,51.6370624490792
E01000116,26,Barnet,-0.1470419207669645,51.63336473965106
E01000117,15,Barnet,-0.1572803723861449,51.63317945770055
E01000118,21,Barnet,-0.1505360328951983,51.63075328895173
E01000119,20,Barnet,-0.1338188972787093,51.630359969651366
E01000120,12,Barnet,-0.1398424379322917,51.63245230790049
E01000121,10,Barnet,-0.1459238095197352,51.62705558190524
E01000122,12,Barnet,-0.136261432131236,51.624707360862224
E01000123,32,Barnet,-0.1440571805426564,51.62236904484908
E01000124,52,Barnet,-0.1436542036527694,51.617977214006686
E01000125,17,Barnet,-0.2692001982445652,51.60510748384087
E01000126,21,Barnet,-0.2522975619809726,51.60133697397653
E01000127,18,Barnet,-0.2602622543738349,51.60539770915747
E01000128,37,Barnet,-0.2588979867691563,51.60161170245189
E01000129,61,Barnet,-0.2635679154651384,51.60307615217541
E01000130,21,Barnet,-0.254700371615093,51.6045496041481
E01000131,40,Barnet,-0.2575236987674164,51.59781477605911
E01000132,26,Barnet,-0.2602707162236801,51.60864356861506
E01000133,15,Barnet,-0.2515737355977879,51.607220902816906
E01000134,22,Barnet,-0.2651351290396208,51.608066985236405
E01000135,29,Barnet,-0.2007921190351577,51.56760360642846
E01000136,80,Barnet,-0.190521193229515,51.56809938295184
E01000137,35,Barnet,-0.200231012935919,51.56501070705529
E01000138,44,Barnet,-0.2058948294935119,51.5641998195735
E01000139,46,Barnet,-0.2020901307903861,51.55831545379246
E01000140,65,Barnet,-0.1965441656994052,51.56212020661607
E01000141,95,Barnet,-0.2165268874140727,51.560877535653646
E01000142,47,Barnet,-0.2117188836073379,51.56235039160491
E01000143,72,Barnet,-0.2077893192162229,51.55790754147162
E01000144,101,Barnet,-0.1983719940662772,51.57504945879685
E01000145,39,Barnet,-0.2048282310692547,51.57299908925882
E01000146,92,Barnet,-0.1980519800196871,51.570201546415575
E01000147,25,Barnet,-0.2492066352540729,51.58939543499916
E01000148,19,Barnet,-0.2544588271171972,51.59263628241047
E01000150,41,Barnet,-0.2428523733456554,51.58457948470893
E01000151,24,Barnet,-0.2435297556304641,51.60113896871511
E01000152,18,Barnet,-0.2434690671467619,51.60523254791868
E01000153,30,Barnet,-0.2483429097443809,51.60370023662792
E01000154,21,Barnet,-0.2439731075377715,51.59797206514229
E01000155,35,Barnet,-0.25063073238567,51.59609627331872
E01000156,34,Barnet,-0.1485544501434949,51.59974253396875
E01000157,6,Barnet,-0.1448267936482222,51.60195726432657
E01000158,19,Barnet,-0.1524453207083202,51.61742187963507
E01000159,31,Barnet,-0.1579389490112078,51.61801638446566
E01000160,38,Barnet,-0.14448924358861,51.61233941562737
E01000161,39,Barnet,-0.1514437609952493,51.61311234950426
E01000162,53,Barnet,-0.1593232933210368,51.61122336242319
E01000163,26,Barnet,-0.1455074020270911,51.608024773112426
E01000164,27,Barnet,-0.1521095385807895,51.60541413006257
E01000165,14,Barnet,-0.1501729331403103,51.609829968111015
E01000166,16,Barnet,-0.1580351834800559,51.653492078256576
E01000167,13,Barnet,-0.1689147483556767,51.65579210930189
E01000168,20,Barnet,-0.1570283369400253,51.6481040260362
E01000169,5,Barnet,-0.1637349167446254,51.65010561504492
E01000170,14,Barnet,-0.1650096913206237,51.64595934586861
E01000171,50,Barnet,-0.1701882872707759,51.64841681520232
E01000172,17,Barnet,-0.1468885786208096,51.63985737253628
E01000173,10,Barnet,-0.1575714803216469,51.64204010310208
E01000174,26,Barnet,-0.1650075134879462,51.64166156385269
E01000175,16,Barnet,-0.1599901414297799,51.63794021634244
E01000176,12,Barnet,-0.1806156935931721,51.59456919580555
E01000177,29,Barnet,-0.1719108680140429,51.5925356688671
E01000178,20,Barnet,-0.1647851580522891,51.595408443079286
E01000179,13,Barnet,-0.1761976093249199,51.59544754123031
E01000180,24,Barnet,-0.1718540848006055,51.58930433600463
E01000181,54,Barnet,-0.1633665801593754,51.59132878505184
E01000182,19,Barnet,-0.1623351683027644,51.5880347927088
E01000183,22,Barnet,-0.1780933180947151,51.59001960428128
E01000184,11,Barnet,-0.1658636171677177,51.60128404596512
E01000185,20,Barnet,-0.1716137143819907,51.596025533451325
E01000186,14,Barnet,-0.2758511920817871,51.62285673106329
E01000187,14,Barnet,-0.272357338251711,51.62549054454897
E01000188,27,Barnet,-0.2855780855796328,51.63013661088605
E01000189,21,Barnet,-0.2883694062585968,51.62142590062188
E01000190,16,Barnet,-0.2847704449509441,51.61889795479643
E01000191,17,Barnet,-0.2782403332256428,51.619902145824526
E01000192,38,Barnet,-0.274532701929207,51.616730258027744
E01000193,58,Barnet,-0.2804113885423952,51.61440941931848
E01000194,53,Barnet,-0.2740228524651029,51.60975946351502
E01000195,31,Barnet,-0.2661507524488883,51.63109284048336
E01000196,45,Barnet,-0.1959093266349001,51.59846639263105
E01000197,31,Barnet,-0.1881784165508335,51.59716281904842
E01000198,29,Barnet,-0.21496642512799,51.595920980765406
E01000199,35,Barnet,-0.2079252939619969,51.59947158367599
E01000200,36,Barnet,-0.2042565529222983,51.59563543291699
E01000201,35,Barnet,-0.2054573948144219,51.59151954611284
E01000202,23,Barnet,-0.1942950593189545,51.59400701351928
E01000203,41,Barnet,-0.19000557083039,51.593853448216365
E01000204,37,Barnet,-0.1988822494195348,51.60169391392554
E01000205,33,Barnet,-0.1893432242977671,51.5866717810112
E01000206,34,Barnet,-0.1759138238768661,51.57389784127663
E01000207,32,Barnet,-0.1835134799480369,51.58377091819303
E01000208,45,Barnet,-0.1671250985201256,51.58565235078489
E01000209,26,Barnet,-0.1950859593029843,51.58386045881576
E01000210,22,Barnet,-0.1833048071869156,51.58986961688451
E01000211,52,Barnet,-0.1986430445830921,51.58807522601309
E01000212,21,Barnet,-0.1949734752531715,51.57885921424536
E01000213,16,Barnet,-0.1790313533097867,51.57951850567724
E01000214,39,Barnet,-0.1906886517052395,51.57331237427372
E01000215,19,Barnet,-0.2096214878681444,51.58128466537339
E01000216,52,Barnet,-0.2006936458180816,51.57901632160709
E01000217,25,Barnet,-0.2036473787724966,51.583199271387286
E01000218,24,Barnet,-0.2039222266233753,51.57797748617759
E01000219,39,Barnet,-0.2129779804499074,51.57608334961158
E01000220,31,Barnet,-0.2062192077891958,51.57604327615924
E01000221,50,Barnet,-0.2176793057404032,51.57438741627054
E01000222,27,Barnet,-0.2121825989595726,51.56955001668099
E01000223,66,Barnet,-0.2223946466483307,51.56727092281088
E01000224,34,Barnet,-0.2131678912076822,51.56553943203088
E01000225,32,Barnet,-0.2055385782132044,51.58702706769142
E01000226,20,Barnet,-0.2659207360168998,51.61044411655664
E01000227,21,Barnet,-0.267051828136752,51.61388214310304
E01000228,16,Barnet,-0.2500933923427093,51.63093336388218
E01000229,42,Barnet,-0.2640535300771551,51.6254290149796
E01000230,11,Barnet,-0.2685398725197253,51.62478125126962
E01000231,14,Barnet,-0.2577974159930077,51.624333458857095
E01000232,26,Barnet,-0.2607570825151956,51.61961501407109
E01000233,44,Barnet,-0.2612539593346544,51.613542628804346
E01000234,13,Barnet,-0.2545479114192385,51.616119955792
E01000235,38,Barnet,-0.2496884434344345,51.61068965765887
E01000236,30,Barnet,-0.213280659722442,51.584635094733606
E01000237,35,Barnet,-0.2269907379640516,51.58526771541589
E01000238,33,Barnet,-0.2120194144545176,51.58890183404798
E01000239,46,Barnet,-0.2351188396780748,51.59044223045072
E01000240,30,Barnet,-0.230884146543899,51.59824768974941
E01000241,24,Barnet,-0.2280335710877796,51.59459217616336
E01000242,21,Barnet,-0.2167203644385776,51.59268674212186
E01000243,35,Barnet,-0.2214969596130692,51.59054176405965
E01000244,71,Barnet,-0.2279547498816113,51.59116610552857
E01000245,50,Barnet,-0.2217998046805168,51.58667026229087
E01000246,11,Barnet,-0.1862824389052041,51.65952636344118
E01000247,10,Barnet,-0.1816681696915495,51.65581622344333
E01000248,21,Barnet,-0.2068991733780208,51.65454107381458
E01000249,13,Barnet,-0.2145788423694712,51.65806573158952
E01000250,35,Barnet,-0.196658840364708,51.65482850043284
E01000251,55,Barnet,-0.1787865787573851,51.650404002734575
E01000252,23,Barnet,-0.1851357940030937,51.649289046165535
E01000253,36,Barnet,-0.2375488316539534,51.65043538921121
E01000254,17,Barnet,-0.2005899879292763,51.66356254832788
E01000255,26,Barnet,-0.2247108027552896,51.61445714842285
E01000256,15,Barnet,-0.2383903927104458,51.6098436327325
E01000257,77,Barnet,-0.2040538299733227,51.60758863953961
E01000258,19,Barnet,-0.2377750909995419,51.61501752468265
E01000259,36,Barnet,-0.2178983848602271,51.60371330130205
E01000260,30,Barnet,-0.2331150674804955,51.60399095248125
E01000261,18,Barnet,-0.236073733506995,51.62311202051072
E01000262,21,Barnet,-0.2086348632134596,51.617223594080805
E01000263,19,Barnet,-0.2469872559182729,51.62150606626323
E01000264,47,Barnet,-0.2531975842880566,51.6200216262593
E01000265,13,Barnet,-0.1569256356482422,51.62354064430989
E01000266,31,Barnet,-0.1659992172564579,51.62270005127053
E01000267,18,Barnet,-0.1730323688483663,51.64117055048372
E01000268,19,Barnet,-0.1789816420273904,51.64715278337773
E01000269,22,Barnet,-0.1836562032206017,51.64388528361376
E01000270,16,Barnet,-0.1748617141133958,51.64588585135679
E01000271,20,Barnet,-0.1756422583390263,51.63731386969277
E01000272,16,Barnet,-0.1643374706686808,51.632495224375965
E01000273,26,Barnet,-0.1723674725192291,51.63256087744128
E01000274,22,Barnet,-0.1607088796253852,51.62866508799844
E01000275,21,Barnet,-0.1859388738719995,51.62081555172828
E01000276,12,Barnet,-0.195072898444422,51.62126545470184
E01000277,27,Barnet,-0.1829269540540557,51.61828354244109
E01000278,21,Barnet,-0.1932928474946828,51.6138978466828
E01000279,54,Barnet,-0.2122924135130065,51.63266091102484
E01000280,25,Barnet,-0.1865876306514881,51.63410287095766
E01000281,34,Barnet,-0.1718639369532404,51.62806776794379
E01000282,30,Barnet,-0.1795006654972184,51.62883682785243
E01000283,26,Barnet,-0.1892975856370303,51.623654024039695
E01000284,26,Barnet,-0.1773019949285565,51.625028404274175
E01000285,13,Barnet,-0.2084886485389723,51.64369712282592
E01000286,17,Barnet,-0.219202944139583,51.648019824440574
E01000287,7,Barnet,-0.2154240765765164,51.645165005046415
E01000288,20,Barnet,-0.189598544181104,51.64325337420922
E01000289,17,Barnet,-0.1949233704777618,51.64427343523985
E01000290,14,Barnet,-0.2286445321751373,51.64155238926787
E01000291,7,Barnet,-0.2033973989351486,51.64342294952638
E01000292,19,Barnet,-0.2041521277615964,51.649916618538064
E01000293,16,Barnet,-0.1987074580959257,51.64909736321887
E01000294,8,Barnet,-0.2095274615861833,51.65135032552261
E01000295,28,Barnet,-0.18879562091434,51.601879567259786
E01000296,51,Barnet,-0.1937772174446099,51.60308628451335
E01000297,21,Barnet,-0.1821224879146151,51.59840343555446
E01000298,15,Barnet,-0.1852185853547096,51.60490276766626
E01000299,45,Barnet,-0.1784492164648668,51.61485075210617
E01000300,18,Barnet,-0.1830924332772888,51.61469148721105
E01000301,22,Barnet,-0.1888853238024183,51.61197641463569
E01000302,27,Barnet,-0.1829564390601802,51.61036704032579
E01000303,32,Barnet,-0.1931565396639137,51.609634814474695
E01000304,16,Barnet,-0.1979363319865349,51.60608483968849
E01000305,41,Barnet,-0.2375623710999135,51.574668360873005
E01000306,6,Barnet,-0.236125242723621,51.57871254127588
E01000307,44,Barnet,-0.226402384443629,51.575080835122776
E01000308,42,Barnet,-0.249018490865078,51.57760188065506
E01000309,15,Barnet,-0.2354189816004039,51.58499566422864
E01000310,52,Barnet,-0.2238373759945676,51.57999216948333
E01000311,28,Barnet,-0.2189164845045958,51.582429672277954
E01000312,23,Barnet,-0.2515382001429109,51.58185499727627
E01000313,28,Barnet,-0.2405223412430478,51.579567987248126
E01000314,53,Barnet,-0.230535390989725,51.58110168080356
E01000315,40,Barnet,-0.164720756122553,51.60811638751686
E01000316,37,Barnet,-0.1749585978048124,51.6050219243712
E01000317,20,Barnet,-0.1810715408278008,51.60795945409433
E01000318,33,Barnet,-0.1722623489506592,51.60952085381169
E01000319,13,Barnet,-0.1797015821502416,51.60259281160016
E01000320,23,Barnet,-0.1733639213344693,51.62024061636593
E01000321,17,Barnet,-0.1781210440255272,51.61924032266776
E01000322,27,Barnet,-0.1703233952522981,51.616298903747975
E01000323,33,Barnet,-0.174322378200203,51.61379788483493
