LSOA code,Burglary_Count,Borough,longitude,latitude,z_score
E01000001,98,City of London,-0.0963606424096297,51.51801909758552,1.7121941224573862
E01000002,105,City of London,-0.0929347770166017,51.518746134561525,1.8835768196081817
E01000005,352,City of London,-0.0748212891487692,51.512525208583455,7.930937704786255
E01000095,82,Barking and Dagenham,0.1400802515226469,51.52493435160436,1.3204622432555677
E01000141,95,Barnet,-0.2165268874140727,51.560877535653646,1.6387443951070453
E01000144,101,Barnet,-0.1983719940662772,51.57504945879685,1.7856438498077272
E01000146,92,Barnet,-0.1980519800196871,51.570201546415575,1.5652946677567043
E01000545,109,Brent,-0.2021529382169276,51.54374017123221,1.9815097894086364
E01000550,86,Brent,-0.1943911722439391,51.53567182653279,1.4183952130560222
E01000580,82,Brent,-0.207757585774382,51.53891156298209,1.3204622432555677
E01000586,86,Brent,-0.2162887151885995,51.53128268413628,1.4183952130560222
E01000850,117,Camden,-0.1312623267673433,51.52050940330355,2.1773757290095457
E01000851,137,Camden,-0.1368781746127996,51.52038413754531,2.667040578011819
E01000855,118,Camden,-0.1255473528534221,51.52033988646303,2.2018589714596595
E01000863,128,Camden,-0.1438053855628785,51.53861361493142,2.4466913959607957
E01000914,197,Camden,-0.116087239213138,51.518228672599065,4.136035125018638
E01000916,142,Camden,-0.1079966712092325,51.520553770834326,2.789456790262387
E01000918,150,Camden,-0.1226591608898983,51.51663548670272,2.9853227298632965
E01000919,218,Camden,-0.1272888909645296,51.51489530912399,4.650183216471024
E01000930,102,Camden,-0.1907371955842056,51.53737376885231,1.8101270922578407
E01000931,95,Camden,-0.1979269602722677,51.543746534373966,1.6387443951070453
E01001042,82,Croydon,-0.1041058992727249,51.37148467216748,1.3204622432555677
E01001043,89,Croydon,-0.0989961753636158,51.369733295547405,1.4918449404063634
E01001097,84,Croydon,-0.1139330724549573,51.33858622253918,1.369428728155795
E01001109,81,Croydon,-0.0893248147911094,51.38662967024754,1.2959790008054541
E01001246,82,Ealing,-0.2585770909401406,51.53067031878446,1.3204622432555677
E01001247,108,Ealing,-0.27670372486877,51.52579999636633,1.9570265469585229
E01001249,81,Ealing,-0.3225448821707825,51.51186092278931,1.2959790008054541
E01001333,95,Ealing,-0.3781507196219796,51.5028524736955,1.6387443951070453
E01001361,93,Ealing,-0.3735425083772755,51.50879761635569,1.589777910206818
E01001429,113,Enfield,-0.0586846705452137,51.62443845525223,2.079442759209091
E01001536,84,Enfield,-0.0858331191739929,51.65563017280641,1.369428728155795
E01001731,95,Hackney,-0.0527027896427062,51.54534596503356,1.6387443951070453
E01001734,86,Hackney,-0.0534948319681973,51.55140647692019,1.4183952130560222
E01001849,98,Hackney,-0.0225735993758105,51.545672197163725,1.7121941224573862
E01001898,113,Hammersmith and Fulham,-0.2238598153246534,51.49313196041263,2.079442759209091
E01001941,93,Hammersmith and Fulham,-0.22681932316289,51.504296417828144,1.589777910206818
E01001943,128,Hammersmith and Fulham,-0.2219225465405573,51.50731053230843,2.4466913959607957
E01002034,99,Haringey,-0.0676736529081024,51.605720791901774,1.7366773649074998
E01002129,88,Harrow,-0.3401582690387501,51.57745168516587,1.4673616979562496
E01002130,99,Harrow,-0.3325271955459422,51.58499187169097,1.7366773649074998
E01002521,111,Hillingdon,-0.483628877117382,51.5463482826124,2.030476274308864
E01002702,82,Islington,-0.0957531793653193,51.52791245157575,1.3204622432555677
E01002704,168,Islington,-0.0879811195283865,51.52281216832683,3.4260210939653417
E01002724,127,Islington,-0.1045232665280789,51.52238224393776,2.4222081535106823
E01002735,99,Islington,-0.1096144415701692,51.56633424777776,1.7366773649074998
E01002766,82,Islington,-0.1249425486493886,51.5473472798294,1.3204622432555677
E01002770,102,Islington,-0.1380724241192307,51.567752025928016,1.8101270922578407
E01002794,125,Islington,-0.1047050077786709,51.53711735853595,2.3732416686104547
E01002818,83,Kensington and Chelsea,-0.1597135033272175,51.49890400629055,1.3449454857056813
E01002819,96,Kensington and Chelsea,-0.1684913843684597,51.497440187359885,1.6632276375571589
E01002850,91,Kensington and Chelsea,-0.1925266291474115,51.49346785670646,1.5408114253065905
E01002968,139,Kingston upon Thames,-0.3038202755603752,51.41009589860722,2.716007062912046
E01003013,130,Lambeth,-0.1191668624342476,51.50047758663296,2.4956578808610232
E01003039,88,Lambeth,-0.1401275763831097,51.4642267168264,1.4673616979562496
E01003047,148,Lambeth,-0.1123987007881011,51.46427739403399,2.936356244963069
E01003055,86,Lambeth,-0.1184105678393113,51.46200426203198,1.4183952130560222
E01003090,87,Lambeth,-0.1280976193986604,51.46725485882628,1.442878455506136
E01003131,107,Lambeth,-0.1290823743484514,51.44035831850043,1.932543304508409
E01003303,86,Lewisham,-0.0332818847170151,51.47722479695406,1.4183952130560222
E01003304,101,Lewisham,-0.0274242032819492,51.47718124663257,1.7856438498077272
E01003318,112,Lewisham,-0.0228164446006947,51.44243220086874,2.0549595167589776
E01003521,101,Newham,0.0535070938082113,51.535273962926766,1.7856438498077272
E01003689,94,Redbridge,0.0736783818711485,51.55666269664026,1.6142611526569315
E01003778,94,Redbridge,0.0246784974809557,51.57726102663605,1.6142611526569315
E01003783,104,Redbridge,0.0696574824638553,51.56041332537666,1.8590935771580681
E01003876,174,Richmond upon Thames,-0.3058410978886226,51.46086415163269,3.5729205486660236
E01003929,188,Southwark,-0.0933077313175226,51.50340071413796,3.915685942967615
E01003934,117,Southwark,-0.1028426290913626,51.506663108576205,2.1773757290095457
E01003939,86,Southwark,-0.0898206342870838,51.50309379888823,1.4183952130560222
E01003979,124,Southwark,-0.0812630851382846,51.4946626819136,2.3487584261603414
E01004062,81,Southwark,-0.066876323404836,51.468861618340014,1.2959790008054541
E01004067,99,Southwark,-0.0683493424841099,51.4723947639435,1.7366773649074998
E01004203,94,Tower Hamlets,-0.060401109269326,51.52822713256077,1.6142611526569315
E01004208,106,Tower Hamlets,-0.057427646208307,51.52070433010483,1.9080600620582955
E01004244,82,Tower Hamlets,-0.0177177459440935,51.51247863140605,1.3204622432555677
E01004293,83,Tower Hamlets,-0.0717695337198614,51.50637713785368,1.3449454857056813
E01004306,89,Tower Hamlets,-0.0706559761532723,51.51964693093311,1.4918449404063634
E01004307,168,Tower Hamlets,-0.0762804605269412,51.52002831005228,3.4260210939653417
E01004397,89,Waltham Forest,-0.0234065680917588,51.58451651444673,1.4918449404063634
E01004422,81,Waltham Forest,-0.0410362861917539,51.5670933459029,1.2959790008054541
E01004430,121,Waltham Forest,-0.0113841612782047,51.556072730845386,2.2753086988100004
E01004474,104,Wandsworth,-0.1509764652499001,51.44530128247419,1.8590935771580681
E01004525,89,Wandsworth,-0.1661185888135214,51.4280691722748,1.4918449404063634
E01004654,104,Westminster,-0.193059121665148,51.51422146080797,1.8590935771580681
E01004657,127,Westminster,-0.1585281491239923,51.5162692209971,2.4222081535106823
E01004658,88,Westminster,-0.1633850713448163,51.51662064339942,1.4673616979562496
E01004661,132,Westminster,-0.1631909601448105,51.520832973689934,2.5446243657612504
E01004663,100,Westminster,-0.1639970064588873,51.51875691545827,1.7611606073576136
E01004675,99,Westminster,-0.1981726839282265,51.5244321420572,1.7366773649074998
E01004681,87,Westminster,-0.1805915450829423,51.51835711488605,1.442878455506136
E01004682,97,Westminster,-0.1762740544895995,51.51442034249017,1.6877108800072727
E01004699,144,Westminster,-0.1892543161168921,51.51398185645151,2.838423275162614
E01004714,263,Westminster,-0.1529451600909181,51.5160893757661,5.751929126726139
E01004731,104,Westminster,-0.1337032853796483,51.50086984707012,1.8590935771580681
E01004734,310,Westminster,-0.1288369611692924,51.51151767461441,6.902641521881481
E01004735,240,Westminster,-0.1164414328247167,51.51218582944478,5.188814550373525
E01004736,241,Westminster,-0.1354414570675914,51.50609519294572,5.213297792823639
E01004749,91,Westminster,-0.1403360956618992,51.49220551070522,1.5408114253065905
E01004755,89,Westminster,-0.1979876437928293,51.52246950813898,1.4918449404063634
E01004761,172,Westminster,-0.1467890869187152,51.50773433647471,3.5239540637657965
E01004762,106,Westminster,-0.15550807022453,51.51207110448009,1.9080600620582955
E01004763,370,Westminster,-0.1338912074312295,51.51615185155273,8.3716360688883
E01004765,265,Westminster,-0.1429094074280267,51.51794507090353,5.800895611626366
E01032573,85,Hounslow,-0.2655780424864903,51.49280240572426,1.3939119706059087
E01032582,108,Lambeth,-0.1134256592349305,51.5025254564267,1.9570265469585229
E01032583,95,Southwark,-0.1045404785296665,51.50235096561194,1.6387443951070453
E01032739,2294,City of London,-0.0861557905144666,51.5132646465817,55.47739454290698
E01032740,911,City of London,-0.1077474835179265,51.51416915268333,21.617070234399787
E01032764,141,Tower Hamlets,-0.0211772060835079,51.53476088665207,2.7649735478122732
E01033327,82,Lewisham,-0.0138821932369272,51.459686105516255,1.3204622432555677
E01033489,84,Islington,-0.1000966529205642,51.523792306474064,1.369428728155795
E01033490,87,Islington,-0.1002975774252316,51.52135688123816,1.442878455506136
E01033583,98,Newham,-0.0084158868348799,51.54527014206563,1.7121941224573862
E01033591,82,Redbridge,0.088796798614262,51.56096916552637,1.3204622432555677
E01033594,134,Westminster,-0.1736932126304657,51.51690441657786,2.593590850661478
E01033595,151,Westminster,-0.1412942715448555,51.51255972474919,3.00980597231341
E01033699,111,Hackney,-0.0735066432766016,51.55000001871263,2.030476274308864
E01033700,91,Hackney,-0.0747086472620837,51.54544103117464,1.5408114253065905
E01033704,137,Hackney,-0.0585471609177886,51.5418074330595,2.667040578011819
E01033706,120,Hackney,-0.0784255612991827,51.527660910800265,2.2508254563598866
E01033708,292,Hackney,-0.0823213387915337,51.5235351596478,6.4619431577794355
E01033711,81,Hackney,-0.088156586845141,51.52787961591689,1.2959790008054541
E01033712,104,Hackney,-0.0600756383840188,51.53663982534843,1.8590935771580681
E01035670,93,Tower Hamlets,-0.0415816595157635,51.52451810653727,1.589777910206818
E01035711,91,Camden,-0.1346034227229105,51.52463524674568,1.5408114253065905
E01035716,409,Westminster,-0.1395248839704421,51.51283993250714,9.326482524442733
