LSOA code,Burglary_Count,Borough,longitude,latitude,Cumulative,Cumulative_Percent
E01032739,2189,City of London,-0.0861557905144666,51.5132646465817,2189,1.5140406695255222
E01032740,874,City of London,-0.1077474835179265,51.51416915268333,3063,2.118550283580025
E01035716,409,Westminster,-0.1395248839704421,51.51283993250714,3472,2.4014386498824183
E01004763,370,Westminster,-0.1338912074312295,51.51615185155273,3842,2.657352330889473
E01000005,326,City of London,-0.0748212891487692,51.512525208583455,4168,2.8828330336146077
E01004734,310,Westminster,-0.1288369611692924,51.51151767461441,4478,3.097247198782681
E01033708,292,Hackney,-0.0823213387915337,51.5235351596478,4770,3.299211509199059
E01004765,265,Westminster,-0.1429094074280267,51.51794507090353,5035,3.482501037487896
E01004714,263,Westminster,-0.1529451600909181,51.5160893757661,5298,3.6644072485821
E01004736,241,Westminster,-0.1354414570675914,51.50609519294572,5539,3.8310969705353437
E01004735,240,Westminster,-0.1164414328247167,51.51218582944478,5779,3.9970950338912714
E01000919,218,Camden,-0.1272888909645296,51.51489530912399,5997,4.147876608106238
E01000914,196,Camden,-0.116087239213138,51.518228672599065,6193,4.283441693180246
E01003929,188,Southwark,-0.0933077313175226,51.50340071413796,6381,4.413473509475723
E01003876,174,Richmond upon Thames,-0.3058410978886226,51.46086415163269,6555,4.53382210540877
E01004761,172,Westminster,-0.1467890869187152,51.50773433647471,6727,4.652787384147185
E01004307,168,Tower Hamlets,-0.0762804605269412,51.52002831005228,6895,4.768986028496334
E01002704,168,Islington,-0.0879811195283865,51.52281216832683,7063,4.885184672845484
E01033595,151,Westminster,-0.1412942715448555,51.51255972474919,7214,4.9896251210402545
E01000918,150,Camden,-0.1226591608898983,51.51663548670272,7364,5.093373910637709
E01003047,148,Lambeth,-0.1123987007881011,51.46427739403399,7512,5.195739383040531
E01004699,144,Westminster,-0.1892543161168921,51.51398185645151,7656,5.295338221054088
E01000916,142,Camden,-0.1079966712092325,51.520553770834326,7798,5.393553741873011
E01032764,141,Tower Hamlets,-0.0211772060835079,51.53476088665207,7939,5.491077604094619
E01002968,139,Kingston upon Thames,-0.3038202755603752,51.41009589860722,8078,5.587218149121593
E01000851,137,Camden,-0.1368781746127996,51.52038413754531,8215,5.681975376953936
E01033704,137,Hackney,-0.0585471609177886,51.5418074330595,8352,5.776732604786278
E01033594,134,Westminster,-0.1736932126304657,51.51690441657786,8486,5.869414856826671
E01004661,132,Westminster,-0.1631909601448105,51.520832973689934,8618,5.960713791672431
E01003013,130,Lambeth,-0.1191668624342476,51.50047758663296,8748,6.050629409323558
E01000863,128,Camden,-0.1438053855628785,51.53861361493142,8876,6.139161709780053
E01001943,128,Hammersmith and Fulham,-0.2219225465405573,51.50731053230843,9004,6.227694010236547
E01002724,127,Islington,-0.1045232665280789,51.52238224393776,9131,6.315534652095725
E01004657,127,Westminster,-0.1585281491239923,51.5162692209971,9258,6.403375293954904
E01002794,125,Islington,-0.1047050077786709,51.53711735853595,9383,6.48983261861945
E01003979,124,Southwark,-0.0812630851382846,51.4946626819136,9507,6.575598284686679
E01004430,121,Waltham Forest,-0.0113841612782047,51.556072730845386,9628,6.659288974961959
E01033706,120,Hackney,-0.0784255612991827,51.527660910800265,9748,6.742288006639923
E01000855,118,Camden,-0.1255473528534221,51.52033988646303,9866,6.823903721123253
E01000850,117,Camden,-0.1312623267673433,51.52050940330355,9983,6.9048277770092685
E01003934,117,Southwark,-0.1028426290913626,51.506663108576205,10100,6.985751832895283
E01001429,113,Enfield,-0.0586846705452137,51.62443845525223,10213,7.0639092543920325
E01001898,113,Hammersmith and Fulham,-0.2238598153246534,51.49313196041263,10326,7.142066675888781
E01003318,112,Lewisham,-0.0228164446006947,51.44243220086874,10438,7.219532438788215
E01002521,111,Hillingdon,-0.483628877117382,51.5463482826124,10549,7.29630654309033
E01033699,111,Hackney,-0.0735066432766016,51.55000001871263,10660,7.373080647392446
E01000545,109,Brent,-0.2021529382169276,51.54374017123221,10769,7.448471434499932
E01001247,108,Ealing,-0.27670372486877,51.52579999636633,10877,7.5231705630100985
E01032582,108,Lambeth,-0.1134256592349305,51.5025254564267,10985,7.597869691520266
E01003131,107,Lambeth,-0.1290823743484514,51.44035831850043,11092,7.671877161433116
E01004762,106,Westminster,-0.15550807022453,51.51207110448009,11198,7.745192972748652
E01004208,106,Tower Hamlets,-0.057427646208307,51.52070433010483,11304,7.8185087840641865
E01004654,104,Westminster,-0.193059121665148,51.51422146080797,11408,7.890441278185088
E01004731,104,Westminster,-0.1337032853796483,51.50086984707012,11512,7.96237377230599
E01003783,104,Redbridge,0.0696574824638553,51.56041332537666,11616,8.03430626642689
E01033712,104,Hackney,-0.0600756383840188,51.53663982534843,11720,8.106238760547793
E01004474,104,Wandsworth,-0.1509764652499001,51.44530128247419,11824,8.178171254668696
E01000930,102,Camden,-0.1907371955842056,51.53737376885231,11926,8.248720431594965
E01002770,102,Islington,-0.1380724241192307,51.567752025928016,12028,8.319269608521234
E01000144,101,Barnet,-0.1983719940662772,51.57504945879685,12129,8.389127126850186
E01003304,101,Lewisham,-0.0274242032819492,51.47718124663257,12230,8.45898464517914
E01003521,101,Newham,0.0535070938082113,51.535273962926766,12331,8.528842163508092
E01004663,100,Westminster,-0.1639970064588873,51.51875691545827,12431,8.598008023239728
E01002034,99,Haringey,-0.0676736529081024,51.605720791901774,12530,8.666482224374048
E01002130,99,Harrow,-0.3325271955459422,51.58499187169097,12629,8.73495642550837
E01002735,99,Islington,-0.1096144415701692,51.56633424777776,12728,8.803430626642688
