LSOA code,Year,Month_Num,Burglary_Count
E01032739,2019,11,15
E01032739,2019,12,20
E01032739,2020,1,20
E01032739,2020,2,10
E01032739,2020,3,10
E01032739,2020,4,12
E01032739,2020,5,6
E01032739,2020,6,7
E01032739,2020,7,8
E01032739,2020,8,8
E01032739,2020,9,12
E01032739,2020,10,10
E01032739,2020,11,3
E01032739,2020,12,2
E01032739,2021,1,2
E01032739,2021,2,2
E01032739,2021,3,2
E01032739,2021,4,7
E01032739,2021,5,6
E01032739,2021,6,7
E01032739,2021,7,11
E01032739,2021,8,13
E01032739,2021,9,15
E01032739,2021,10,9
E01032739,2021,11,13
E01032739,2021,12,15
E01032739,2022,1,10
E01032739,2022,2,19
E01032739,2022,3,8
E01032739,2022,4,11
E01032739,2022,5,15
E01032739,2022,6,12
E01032739,2022,7,8
E01032739,2022,8,25
E01032739,2022,9,12
E01032739,2022,10,12
E01032739,2022,11,23
E01032739,2022,12,25
E01032739,2023,1,15
E01032739,2023,2,13
E01032739,2023,3,16
E01032739,2023,4,19
E01032739,2023,5,19
E01032739,2023,6,23
E01032739,2023,7,8
E01032739,2023,8,25
E01032739,2023,9,15
E01032739,2023,10,15
E01032739,2023,11,15
E01032739,2023,12,10
E01032739,2024,1,20
E01032739,2024,2,21
E01032739,2024,3,14
E01032739,2024,4,12
E01032739,2024,5,14
E01032739,2024,6,16
E01032739,2024,7,17
E01032739,2024,8,18
E01032739,2024,9,19
E01032739,2024,10,17
E01032739,2024,11,8
E01032739,2024,12,17
E01032739,2025,1,14
E01032739,2025,2,17
E01032740,2016,5,4
E01032740,2016,6,1
E01032740,2016,7,5
E01032740,2016,8,3
E01032740,2016,9,4
E01032740,2016,10,8
E01032740,2016,11,11
E01032740,2016,12,6
E01032740,2017,1,2
E01032740,2017,2,5
E01032740,2017,3,3
E01032740,2017,4,9
E01032740,2017,5,8
E01032740,2017,6,6
E01032740,2017,8,5
E01032740,2017,9,2
E01032740,2017,10,4
E01032740,2017,11,4
E01032740,2017,12,6
E01032740,2018,1,12
E01032740,2018,2,6
E01032740,2018,3,13
E01032740,2018,4,7
E01032740,2018,5,10
E01032740,2018,6,4
E01032740,2018,7,3
E01032740,2018,8,15
E01032740,2018,10,3
E01032740,2018,11,2
E01032740,2018,12,3
E01032740,2019,1,7
E01032740,2019,2,4
E01032740,2019,3,7
E01032740,2019,4,2
E01032740,2019,5,8
E01032740,2019,6,2
E01032740,2019,7,2
E01032740,2019,8,5
E01032740,2019,9,6
E01032740,2019,10,13
E01032740,2019,11,6
E01032740,2019,12,5
E01032740,2020,1,5
E01032740,2020,2,3
E01032740,2020,3,9
E01032740,2020,4,3
E01032740,2020,5,7
E01032740,2020,6,1
E01032740,2020,7,3
E01032740,2020,8,1
E01032740,2020,9,3
E01032740,2020,10,2
E01032740,2020,11,1
E01032740,2020,12,2
E01032740,2021,1,2
E01032740,2021,2,2
E01032740,2021,4,3
E01032740,2021,5,1
E01032740,2021,6,1
