LSOA21CD,Latitude,Longitude
E01000218,51.57712,-0.20377
E01000219,51.57628,-0.21293
E01000220,51.57635,-0.20782
E01000221,51.57329,-0.21774
E01000222,51.56985,-0.21422
E01000223,51.56765,-0.22337
E01000224,51.56545,-0.21355
E01000225,51.58603,-0.206
E01000226,51.61017,-0.26549
E01000227,51.61457,-0.26664
E01000228,51.63308,-0.24999
E01000229,51.62442,-0.26487
E01000230,51.61953,-0.26859
E01000231,51.62434,-0.25791
E01000232,51.61926,-0.26168
E01000233,51.61378,-0.25996
E01000234,51.6159,-0.25597
E01000235,51.61041,-0.25354
E01000236,51.58454,-0.21356
E01000237,51.58552,-0.22761
E01000238,51.58886,-0.21191
E01000239,51.58935,-0.23257
E01000240,51.59766,-0.22777
E01000241,51.59415,-0.22505
E01000242,51.59286,-0.2167
E01000243,51.59102,-0.22195
E01000244,51.59123,-0.22859
E01000245,51.58708,-0.22169
E01000246,51.65905,-0.18475
E01000247,51.65471,-0.1826
E01000248,51.65463,-0.20761
E01000249,51.65752,-0.21395
E01000250,51.65429,-0.19641
E01000251,51.65027,-0.17801
E01000252,51.64918,-0.186
E01000253,51.65048,-0.23592
E01000254,51.66312,-0.19775
E01000255,51.61697,-0.22561
E01000256,51.60939,-0.23455
E01000257,51.60855,-0.20641
E01000258,51.61533,-0.23786
E01000259,51.60504,-0.21745
E01000260,51.60429,-0.23466
E01000261,51.62411,-0.2355
E01000263,51.62085,-0.24681
E01000264,51.61482,-0.24931
E01000265,51.62438,-0.15772
E01000266,51.62386,-0.1679
E01000267,51.6411,-0.17274
E01000268,51.64712,-0.18068
E01000269,51.64306,-0.18353
E01000270,51.64592,-0.17595
E01000271,51.63907,-0.17711
E01000272,51.63669,-0.1676
E01000273,51.63179,-0.17146
E01000274,51.62868,-0.16059
E01000275,51.62056,-0.18599
E01000276,51.6199,-0.19568
E01000277,51.61825,-0.18346
E01000278,51.61417,-0.19465
E01000279,51.63279,-0.21495
E01000280,51.63407,-0.18822
E01000281,51.62938,-0.17293
E01000282,51.62702,-0.18209
E01000283,51.62433,-0.18912
E01000284,51.62524,-0.17768
E01000285,51.64456,-0.20967
E01000286,51.64821,-0.21806
E01000287,51.64415,-0.21496
E01000288,51.64325,-0.1905
E01000289,51.64418,-0.19584
E01000290,51.64284,-0.22671
E01000291,51.64334,-0.20397
E01000292,51.64929,-0.20339
E01000293,51.6492,-0.19829
E01000294,51.65146,-0.21095
E01000295,51.60131,-0.18851
E01000296,51.60309,-0.19402
E01000297,51.5989,-0.18194
E01000298,51.60537,-0.18617
E01000299,51.61479,-0.17847
E01000300,51.6143,-0.18384
E01000301,51.61058,-0.18852
E01000302,51.61084,-0.18245
E01000303,51.60963,-0.19314
E01000304,51.60644,-0.19807
E01000305,51.57327,-0.24177
E01000306,51.57815,-0.23558
E01000307,51.57511,-0.22727
E01000308,51.57801,-0.24776
E01000309,51.58502,-0.23469
E01000310,51.58009,-0.22427
E01000311,51.58096,-0.21764
E01000312,51.58198,-0.25037
E01000313,51.58075,-0.23786
E01000314,51.58138,-0.22917
E01000315,51.60748,-0.16519
E01000316,51.60424,-0.17446
E01000317,51.6086,-0.17972
